bandwidth,selected_bandwidth,validation_loss,u0,hour,rep,m_target,ScalarRidge_lambda,LR,LR_mae,LR_r2,Pooled,Pooled_mae,Pooled_r2,DVCM,DVCM_mae,DVCM_r2,ScalarRidge,ScalarRidge_mae,ScalarRidge_r2,TL,TL_mae,TL_r2
0.03,0.03,0.11993817121929429,0.0,0.0,0,352,1e-05,0.24689335764944523,0.3324074005207892,0.6686526774322481,0.24765405666816556,0.36909807048569787,0.6676317687065837,0.22898817235267754,0.34631745261381,0.6926826281147904,0.26492772640408857,0.33562906347614163,0.644449353949017,0.23021252032261147,0.3211009695901545,0.6910394716297752
0.2,0.2,0.22422334730258106,0.0,0.0,1,352,0.1,0.19215010413308514,0.2970578673169724,0.7467399843820253,0.18217492357158868,0.31151236831121976,0.7598875931027937,0.5155370747888163,0.6457399926694509,0.32050555891330645,0.1701589898180232,0.281345721407178,0.7757249801488336,0.1625009728586733,0.27827631274439135,0.7858184927361824
0.02,0.02,0.0894392493224029,0.0,0.0,2,352,10.0,0.31522443307037634,0.3407512590394868,0.65331363211007,0.236220021221603,0.3750801164587176,0.740203319956749,0.2865700321755658,0.33561884340131626,0.6848279727768861,0.47050114831422946,0.3425709315497727,0.4825390512775243,0.31699215272999687,0.343481578583217,0.6513694798047673
0.03,0.03,0.1451539198939831,0.0,0.0,3,352,10.0,0.20610098679742417,0.31885139193117157,0.7554117156874535,0.23581836857154836,0.35842228340969035,0.7201449101503301,0.21130155975565001,0.3463456639652299,0.7492399877541713,0.1777307049803564,0.30649766499489106,0.7890798638265033,0.21150584118853039,0.310240348281629,0.7489975588072676
0.075,0.075,0.09069093936690603,0.0,0.0,4,352,10.0,0.1188113025604562,0.2573541221932957,0.834888867291361,0.16555900122596942,0.3139105719045779,0.7699239581299833,0.21662761859333357,0.38326739656703573,0.6989543022329863,0.11356377503617675,0.256449484949084,0.8421813150196626,0.12054121810035724,0.2539459556153451,0.8324848172714735
0.05,0.05,0.20895853462329483,0.043478260869565216,1.0,0,352,10.0,0.3388551320859119,0.40293775467692444,0.4940192179860642,0.3502368595877809,0.4237162401668728,0.4770239452669687,0.31419799428513034,0.4199070218602509,0.5308374234234889,0.30508101338180704,0.3898725559457306,0.5444509611576616,0.3135076365413474,0.3955481293819892,0.5318682702898723
0.05,0.05,0.21342451498661172,0.043478260869565216,1.0,1,352,1.0,0.3272239923217697,0.38661629286904575,0.5039659022215872,0.2902973716326252,0.3740149037240711,0.5599424302493179,0.28006192049298007,0.38973487755088104,0.575458201985323,0.27242557862769673,0.3503794484767771,0.5870340217184574,0.2595533369906987,0.3535323883383216,0.6065468658760318
0.1,0.1,0.2323524286895098,0.043478260869565216,1.0,2,352,10.0,0.29738129596553703,0.37970989295705876,0.6419080852538955,0.356755067073179,0.437341959603357,0.5704131134110921,0.34065746360444465,0.46700224618508895,0.5897970549270732,0.26814506241329117,0.3701942204608811,0.6771129182232873,0.2856454450291934,0.36871013398414787,0.6560398191254742
0.02,0.02,0.200797940131659,0.043478260869565216,1.0,3,352,0.1,0.582711587818065,0.42123234830071343,0.2293230336262122,0.3146291503214206,0.402255208698598,0.5838808697619696,0.3423354269842683,0.39922936303014056,0.5472373746017136,0.3686594044754711,0.4172973024339128,0.5124220670980877,0.42634323414944386,0.4151870606341394,0.43613115442133543
0.05,0.05,0.16671659603221828,0.043478260869565216,1.0,4,352,0.1,0.5017830482371902,0.34871132965152773,0.23143467286146124,0.2536360789556953,0.3587569663946083,0.6115135880306283,0.24211198799948613,0.3444994740564229,0.6291646760194487,0.307991519176259,0.35628648539865493,0.5282590682901971,0.2969743339198742,0.333768139510863,0.5451337447474154
0.02,0.02,0.19047288615816554,0.08695652173913043,2.0,0,352,10.0,0.371073773290109,0.42272537662357906,0.460011523059659,0.3744512869339683,0.44748803514958096,0.455096547710628,0.32038816272771814,0.40718230566201546,0.5337694860860001,0.3193384608186434,0.398863944588855,0.5352970177412202,0.31531980055430586,0.40469114651466714,0.5411449929733144
0.02,0.02,0.2866049836266254,0.08695652173913043,2.0,1,352,10.0,0.3293981776890008,0.39758406854172706,0.49798633195381414,0.3132989467543861,0.41051117354642785,0.5225220899562132,0.3033419693575451,0.3824051945112886,0.5376968513368316,0.30201870901042105,0.3830825713308508,0.5397135436734448,0.2811326901911855,0.36513972797383376,0.5715445240142819
0.2,0.2,0.1793701770073102,0.08695652173913043,2.0,2,352,1.0,0.2750902835830554,0.38158503191912124,0.650773895026771,0.34340441757863,0.445043820265275,0.5640493527450336,0.2941254297505958,0.3968885338745221,0.626608846857488,0.27273932213292124,0.3843655435929389,0.6537584319558067,0.27091188111036024,0.38259073150012424,0.6560783616242226
