selected_bandwidth,n_selected,TL_mse_mean
0.02,37,0.3508248952746784
0.03,20,0.4141889892938588
0.04,10,0.4133624241190702
0.05,14,0.3250101084540989
0.075,16,0.3266386800487856
0.1,7,0.2703350546764435
0.15,5,0.38276240933375255
0.2,11,0.3059324030506509
