u0,hour,m_target,LR,Pooled,DVCM,ScalarRidge,TL,LR_mae,LR_r2,Pooled_mae,Pooled_r2,DVCM_mae,DVCM_r2,ScalarRidge_mae,ScalarRidge_r2,TL_mae,TL_r2,LR_std,Pooled_std,DVCM_std,ScalarRidge_std,TL_std,LR_mae_std,LR_r2_std,Pooled_mae_std,Pooled_r2_std,DVCM_mae_std,DVCM_r2_std,ScalarRidge_mae_std,ScalarRidge_r2_std,TL_mae_std,TL_r2_std,selected_bandwidth,selected_bandwidth_std,validation_loss,ScalarRidge_lambda,n_success,bandwidth
0.0,0.0,352,0.2158360368421574,0.213485274251775,0.29180489153320865,0.2393764689105749,0.20835054104003384,0.3092844082003431,0.7318013753806316,0.3456046821139807,0.731558310009288,0.4114578698433686,0.6292420899584281,0.30449857327541346,0.7067949128443082,0.3014090329629474,0.7419419640498932,0.07230526286282887,0.03694728413346826,0.1286097222018858,0.14008174198601242,0.07433633355451645,0.03340136808589112,0.07340934050416696,0.030626107785526314,0.04051566305940065,0.13220934829114353,0.1744219208325478,0.036288351061447906,0.14493904355949286,0.03543913814334391,0.0724005837223662,0.071,0.0751997340420829,0.13388912542103348,6.020002,5,cv
0.043478260869565216,1.0,352,0.40959101128569475,0.3131109055141402,0.3038729586732619,0.304460515614905,0.31640479732611154,0.38784152369105407,0.4201301823898441,0.39921705571750143,0.5605547893439953,0.4040745965365569,0.5744989461914095,0.3768060025431913,0.5698558072975383,0.37334917036989224,0.5551439708920258,0.12534853043371397,0.04284613953929958,0.042779816122160794,0.04024735911700714,0.06451864582418534,0.027118444150725275,0.18281604075908206,0.03292079890298474,0.050536790164552065,0.04469019419504004,0.03831715078183749,0.027264487848828862,0.06609369922988718,0.03249648579278387,0.08310872871389223,0.054000000000000006,0.028809720581775868,0.20445000289265872,4.24,5,cv
0.08695652173913043,2.0,352,0.3053290251461348,0.3267533693525028,0.2915692237050863,0.2926551846850676,0.27598076363433516,0.3927523482711819,0.5607376519051052,0.42795299518507834,0.5317506721218213,0.38790176458497216,0.5817820601971362,0.38633655224721447,0.5796083786715155,0.3776259163305168,0.6039515512577804,0.049054126050102426,0.033351854155410074,0.029936119936345616,0.03321253806763678,0.03130886860990702,0.02506069638192615,0.08160224007747145,0.0176088890171314,0.04596642920354302,0.021230572633031946,0.046605147286240246,0.01962795752021459,0.055406505641151536,0.02320293128433705,0.04966140559763025,0.05600000000000001,0.08049844718999244,0.22230324433378942,8.2,5,cv
0.13043478260869565,3.0,352,0.34903213456003757,0.32119201979645406,0.3010958706138616,0.3749604092890925,0.3193312493663507,0.38492742786397405,0.4992760418762098,0.41964756221265276,0.5504156142966663,0.3979370800757571,0.5846313713880599,0.3993258271704626,0.46281992255372284,0.3832218849217775,0.5466428291334197,0.15702774292331215,0.041280278063614936,0.08778754836202,0.21785214661135807,0.10733674834059712,0.023367990802987595,0.2561584841602833,0.025133341681645625,0.02537374255008147,0.05718046985072966,0.06562777403302543,0.04435815928628721,0.3444148394187112,0.02264673142823429,0.17440825776175775,0.049999999999999996,0.05612486080160912,0.22753995951995684,2.420002,5,cv
0.17391304347826086,4.0,352,0.6052021840124681,0.3578333892685216,0.5642209614514915,0.4877923261428487,0.42447354070560783,0.3899203860974592,0.09434141163478423,0.40802728100925406,0.4584911950440362,0.4965234105138755,0.15519844216233367,0.3995192551690872,0.2788687606835275,0.3715456630040726,0.3642545375010181,0.6588185437133866,0.08838754519095067,0.17859117472859062,0.2570816486886486,0.2938201459624364,0.04173319070472053,0.9731893223605681,0.029225257139405766,0.11606953271204308,0.07331833808475612,0.1979363838882759,0.03331317633314207,0.32565527407701117,0.027734252347325777,0.4255567823409751,0.06599999999999999,0.020124611797498106,0.22000725366725563,0.6022000000000001,5,cv
0.21739130434782608,5.0,352,0.32491293987243886,0.31270436151518777,0.30423393041464264,0.2639678146234274,0.27735706445513486,0.3706196395927674,0.510997853034955,0.41769048548111953,0.5298410411344705,0.38469747963038337,0.5452855912705881,0.3669740057935275,0.6038178057427271,0.35662303625888464,0.5820611372998561,0.07188957920486354,0.027237653140080614,0.07456800040562014,0.025318610345361495,0.028742622802214214,0.01401363529527141,0.12367245680023439,0.022465067458029394,0.07449772977095544,0.050624264027152706,0.1134388220036492,0.03333822638254598,0.059297861773490626,0.009748388606027638,0.07529891053519866,0.038,0.016431676725154984,0.22359324711265796,2.0620000000000003,5,cv
0.2608695652173913,6.0,352,0.4096361511614656,0.4696327306534309,0.40305604886866514,0.5143089033499054,0.3901070087804275,0.4913152262796686,0.5799440881522966,0.5290026682024773,0.5219304873899594,0.49433589523909377,0.5876553531012347,0.5053787252508697,0.4697576794331888,0.47824651752420566,0.6010717057952074,0.045896436686839855,0.062375614163558794,0.042565250711961315,0.1582481774085755,0.0511202800113722,0.018103424709822596,0.06418328231338505,0.031924111325944825,0.04120431657816697,0.0218931607890083,0.050630015293921346,0.03211397534977182,0.18507756731832903,0.024819484454640026,0.05686536797038923,0.022,0.004472135954999579,0.37564242854600954,2.242,5,cv
0.30434782608695654,7.0,353,0.9470746892978799,0.709980040041474,0.7180385405686824,0.6796605593071109,0.6767025734180726,0.6845891280041687,0.20807031856824104,0.6995741062479585,0.39373608130283083,0.7138908659454494,0.37988979769657705,0.6738203786942513,0.4180804041861144,0.6743867191633444,0.4204265097892286,0.6985635548194166,0.08030420276088791,0.1681659850596028,0.06814753654510117,0.13496253486786913,0.05883728342142672,0.5390242491856083,0.041183084412951924,0.07975459402541094,0.09521344455457814,0.19437632654136927,0.05439823443716646,0.08423446812723767,0.07105644605698982,0.13524623164340877,0.057999999999999996,0.05215361924162119,0.6939588473277517,6.4,5,cv
0.34782608695652173,8.0,353,0.769426645754003,0.7943332529286231,0.8170745746138568,0.8185378527200751,0.7724245152366727,0.6803179396967391,0.3633431351158157,0.7245795794955731,0.3444235979163501,0.7545913196760635,0.31865310715443984,0.7133595409048651,0.3228082060394293,0.7142935297757241,0.35945875727652554,0.09390106286717123,0.11631879715839763,0.06396399082872839,0.1063749499663835,0.06690638413740703,0.041398386193212657,0.056167468587814476,0.031818413096601765,0.058242387178392876,0.04235617343687561,0.09078931511927306,0.05238215463356252,0.06642600715833784,0.03604295465385534,0.04771752375205383,0.032,0.008366600265340755,0.795399950469372,2.600002,5,cv
0.391304347826087,9.0,353,0.32647497262227954,0.33877455351351626,0.3077715441912697,0.3069876827107584,0.31159966817324125,0.38222772821839246,0.640052013195876,0.41781231725900564,0.6279768643806982,0.3924793790699705,0.6629139894785367,0.37302565231956913,0.6652166104091082,0.3702192132818518,0.6597182381634803,0.07617923530541486,0.0652965025051382,0.07366004469652994,0.08330701607569486,0.0991952544527909,0.02766108267829279,0.0627661290317122,0.024738250055887163,0.026505094641816024,0.04785357287534675,0.05281528962049472,0.03652959480191242,0.05371781879596383,0.036532546866272955,0.08486568389414884,0.066,0.02678619047195775,0.35718400351842045,6.202,5,cv
0.43478260869565216,10.0,353,0.28446316440849145,0.3248937882302425,0.3213015623915835,0.3248272417285749,0.2978262221653938,0.3456765383821972,0.686806570606393,0.3745300050580943,0.6441527674543128,0.3544168323158129,0.6511445105039179,0.36132434125487056,0.6431345600657135,0.34062518986913715,0.6741534627457264,0.047630622032889446,0.06730747830692785,0.0863565713140313,0.04182995900261706,0.06472163145068302,0.02951823913593947,0.043331585203577244,0.02250795529862593,0.05137940921256754,0.050283225265535636,0.056943410976348675,0.04337182268270856,0.014935160260855028,0.03244323717629086,0.049275366011372064,0.128,0.0985900603509299,0.23861133776456497,2.2239999999999998,5,cv
0.4782608695652174,11.0,353,0.24142245765406786,0.27539331961066454,0.24146467800780255,0.30664041602282877,0.24127073448053338,0.33903292363442844,0.6993442555176794,0.3568871219176271,0.6566572990829778,0.3217785966727197,0.7014240629345345,0.3412723759247126,0.5997371939912652,0.32523286640404114,0.6988303198846784,0.04789584268682793,0.05400670488886708,0.05489760306443197,0.1078236451320517,0.04286388213751288,0.02678759014968368,0.047540900602518636,0.02197319291435243,0.05602923578292094,0.03378895351044241,0.042732827198544286,0.0435883780395605,0.20789991511833555,0.025123987257956667,0.046181707079051816,0.075,0.05315072906367325,0.20916307891219335,6.002002,5,cv
0.5217391304347826,12.0,353,0.24297886488065906,0.29366815029090626,0.24152503443397322,0.24498155230126767,0.23316424773013483,0.3277395296309653,0.7112748504187262,0.37291411152804826,0.654880251694527,0.3348336956512984,0.7172129105565384,0.3382841898233081,0.7128468661936103,0.3332623680898228,0.725754350075164,0.02288681629258924,0.03560483787490307,0.04086103117765877,0.037444101298539305,0.026735738630640743,0.01728098795910717,0.045491347331405675,0.004702572127170835,0.01445633723028364,0.022701967050071343,0.022592336784624262,0.02267341450531441,0.01824309918928679,0.01931056206994428,0.010952070074818514,0.057999999999999996,0.05263078946776307,0.21253991638721043,8.2,5,cv
